ticker,date,period_ending,estimate,reported,surprise,surprise%
MTZ,2021-05-06,2021-03,0.77,1.1,0.33,42.86
TMX,2021-05-06,2021-03,0.21,0.3,0.09,42.86
WEN,2021-05-12,2021-03,0.14,0.2,0.06,42.86
CACI,2021-04-21,2021-03,3.69,5.28,1.59,43.09
WH,2021-04-28,2021-03,0.25,0.36,0.11,44
WST,2021-04-29,2021-03,1.42,2.05,0.63,44.37
OGE,2021-05-06,2021-03,0.18,0.26,0.08,44.44
SIVB,2021-04-22,2021-03,6.94,10.03,3.09,44.52
MCO,2021-04-28,2021-03,2.8,4.06,1.26,45
CFG,2021-04-16,2021-03,0.97,1.41,0.44,45.36
HBAN,2021-04-22,2021-03,0.33,0.48,0.15,45.45
MTCH,2021-05-04,2021-03,0.46,0.67,0.21,45.65
WAT,2021-05-05,2021-03,1.57,2.29,0.72,45.86
HII,2021-05-06,2021-03,2.52,3.68,1.16,46.03
AGR,2021-05-03,2021-03,0.78,1.14,0.36,46.15
UPST,2021-05-11,2021-03,0.15,0.22,0.07,46.67
NLSN,2021-05-06,2021-03,0.32,0.47,0.15,46.88
PII,2021-04-27,2021-03,1.56,2.3,0.74,47.44
JPM,2021-04-14,2021-03,3.05,4.5,1.45,47.54
AXON,2021-05-06,2021-03,0.21,0.31,0.1,47.62
CLR,2021-04-28,2021-03,0.52,0.77,0.25,48.08
MET,2021-05-05,2021-03,1.48,2.2,0.72,48.65
CAT,2021-04-29,2021-03,1.93,2.87,0.94,48.7
ROST,2021-05-20,2021-04,0.9,1.34,0.44,48.89
TXT,2021-04-29,2021-03,0.47,0.7,0.23,48.94
PNC,2021-04-16,2021-03,2.75,4.1,1.35,49.09
LKQ,2021-04-29,2021-03,0.63,0.94,0.31,49.21
AXS,2021-04-28,2021-03,0.65,0.97,0.32,49.23
HSIC,2021-05-04,2021-03,0.83,1.24,0.41,49.4
ESTC,2021-06-02,2021-04,-0.16,-0.08,0.08,50
GE,2021-04-27,2021-03,0.16,0.24,0.08,50
HBI,2021-05-11,2021-03,0.26,0.39,0.13,50
